intensity;direction
0.097723;232.556454
0.043266;240.378746
0.052849;239.567705
0.046804;232.865831
0.060259;223.409374
0.024177;225.606875
0.013058;227.781458
0.008114;232.327086
0.035197;225.251877
0.038513;222.787709
0.033484;225.240416
0.037236;218.746250
0.037916;219.883958
0.053524;220.186250
0.060582;221.600833
0.021447;227.677082
0.021251;230.066039
0.053299;231.861247
0.074109;232.584996
0.044390;234.147079
0.049648;231.572913
0.044695;231.984581
0.056103;224.336458
0.070806;220.051459
0.074880;216.711668
0.085973;220.630834
0.104671;222.364792
0.068819;221.775000
0.083201;218.648750
0.081700;219.363124
0.083508;221.165417
0.082175;221.020833
0.088685;221.152709
0.080502;219.597916
0.057810;225.659791
0.057585;223.066457
0.057888;226.964999
0.051123;228.955415
0.038675;227.006874
0.040354;226.312708
0.039647;226.819166
0.034292;226.222916
0.028333;221.707919
0.029630;222.303125
0.059477;223.688543
0.027073;228.873123
0.015899;234.357287
0.017749;224.636879
0.030026;219.186667
0.036013;224.032083
0.059503;222.890834
0.066237;221.345416
0.047572;223.083334
0.066520;224.247083
0.083306;227.165208
0.033127;229.209166
0.034202;224.216459
0.044539;223.641250
0.026458;222.632917
0.036713;226.353540
0.042027;220.918543
0.033752;219.641877
0.027299;225.460001
0.020277;222.603960
0.019066;224.667917
0.030119;223.000627
0.024814;219.661042
0.028859;225.989168
0.034855;230.088126
0.039888;227.427710
0.034788;226.698959
0.018189;229.424791
0.015830;217.618962
0.017218;218.457919
0.017083;221.008961
0.016019;222.283959
0.015928;228.364585
0.012914;227.630833
0.018131;226.456041
0.022258;228.517499
0.013405;223.330837
0.013509;208.362090
0.016974;220.542293
0.016281;229.909793
0.018775;222.341879
0.015611;233.347085
0.013875;232.606459
0.008803;223.647502
0.005551;227.262918
0.006476;232.989376
0.007816;218.139800
0.015231;213.882502
0.023845;223.915000
0.012407;221.031252
0.015499;207.898340
0.010878;222.980208
0.011867;219.994170
0.012600;208.900628
0.009703;224.444793
0.010409;230.193128
0.013679;208.115218
0.011966;216.199166
0.010775;228.224580
0.012336;226.879166
0.011856;220.231874
0.012293;216.762292
0.006838;224.284372
0.004931;230.804375
0.003453;235.210003
0.004551;231.063543
0.005366;210.804182
0.009039;199.187502
0.006150;224.208746
0.007140;224.053541
0.054757;201.660628
0.038246;199.979800
0.039699;200.442504
0.021580;221.475829
0.011949;230.952914
0.009095;230.708331
0.008139;232.663747
0.006593;236.326247
0.007907;225.969169
0.007870;216.341252
0.006181;242.333537
0.007798;243.039164
0.006778;230.931664
0.008185;224.718747
0.017902;222.785413
0.018813;226.949787
0.013929;227.851247
0.008569;218.881248
0.008604;230.381247
0.012968;214.150004
0.013456;205.365628
0.008688;225.452287
0.005416;240.233537
0.010122;228.751040
0.013896;222.086248
0.009786;236.828119
0.008512;227.771669
0.013334;214.845207
0.007982;226.701037
0.006712;222.573959
0.009604;210.209170
0.024625;202.507295
0.022659;208.920832
0.012446;226.578327
0.010939;229.607496
0.007171;225.237289
0.008213;220.275830
0.006530;228.839787
0.030432;229.752080
0.032098;225.922705
0.023452;225.842495
0.010274;227.956038
0.010853;208.599378
0.034794;204.616251
0.008601;225.172705
0.007934;229.204163
0.018173;206.909378
0.010771;216.189997
0.005771;232.018746
0.007940;234.722495
0.009397;230.725830
0.011587;228.397707
0.007929;239.945830
0.012419;254.338120
0.022129;247.833538
0.020382;251.436872
0.019328;249.583331
0.014305;252.104997
0.009887;249.314998
0.014492;236.383957
0.009742;232.268123
0.010372;234.108540
0.020097;222.288337
0.017946;214.104376
0.016323;225.971040
0.021646;228.823541
0.020520;226.125000
0.052430;205.713127
0.041256;219.344372
0.025491;232.306455
0.026838;234.795414
0.026136;229.976041
0.027626;217.282294
0.031138;225.299581
0.017042;240.233537
0.027908;237.393745
0.029251;230.350831
0.031864;220.593333
0.021964;224.419166
0.025053;226.696664
0.038633;215.467499
0.029907;222.487497
0.011778;229.869996
0.008730;229.778956
0.006885;232.781038
0.010884;241.251454
0.017844;235.166871
0.044536;228.051041
0.067209;232.919582
0.065461;233.051249
0.050744;233.355624
0.050275;230.191664
0.060493;228.334790
0.061628;233.657911
0.040499;234.816245
0.040276;234.712915
0.036945;235.891873
0.029282;230.472083
0.025832;224.145208
0.020447;224.109166
0.017933;234.978952
0.014250;248.213327
0.017517;237.390625
0.015898;237.238540
0.017376;228.205001
0.022521;222.593333
